,title,price,year,link,instrument,location,age
96,custom thinline telecaster,750,,https://charlottesville.craigslist.org/msg/d/charlottesville-custom-thinline/7818405166.html,missing,Charlottesville,
97,guitar rescue,1,,https://charlottesville.craigslist.org/msg/d/charlottesville-guitar-rescue/7818405054.html,guitar,Charlottesville,
98,8-channel digital audio interface,150,,https://charlottesville.craigslist.org/msg/d/charlottesville-channel-digital-audio/7818263737.html,missing,Ednam,
99,"musafe digital piano, new",100,,https://charlottesville.craigslist.org/msg/d/quinque-musafe-digital-piano-new/7818101523.html,missing,Ruckersville,
100,wampler pinnacle standard distortion pedal,99,,https://charlottesville.craigslist.org/msg/d/amherst-wampler-pinnacle-standard/7817940558.html,missing,Amherst,
101,little martin guitar,300,,https://charlottesville.craigslist.org/msg/d/waynesboro-little-martin-guitar/7817844994.html,guitar,Waynesboro,
102,jean baptise trumpet,100,,https://charlottesville.craigslist.org/msg/d/palmyra-jean-baptise-trumpet/7817693248.html,trumpet,Palmrya,
103,fender telecaster,829,,https://charlottesville.craigslist.org/msg/d/amherst-fender-telecaster/7817462468.html,missing,Amherst,
104,fender highway one stratocaster,1100,,https://charlottesville.craigslist.org/msg/d/charlottesville-fender-highway-one/7817460343.html,missing,Charlottesville,
105,gold tone tenor resonater uke,250,,https://charlottesville.craigslist.org/msg/d/stanardsville-gold-tone-tenor-resonater/7817302217.html,missing,Stanardsville,
106,dw adjustable bass drum riser,175,,https://charlottesville.craigslist.org/msg/d/free-union-dw-adjustable-bass-drum-riser/7817281829.html,bass,Free Union,
107,1976 fender deluxe reverb amp,2500,1976.0,https://charlottesville.craigslist.org/msg/d/montpelier-station-1976-fender-deluxe/7809897882.html,missing,Gordonsville,49.0
108,1986 fender squire stratocaster guitar,575,1986.0,https://charlottesville.craigslist.org/msg/d/montpelier-station-1986-fender-squire/7809921721.html,guitar,Gordonsville,39.0
109,mackie 32.4 premium 32 channel mixer,795,,https://charlottesville.craigslist.org/msg/d/charlottesville-mackie-324-premium-32/7814520878.html,missing,Unknown,
110,studio acoustic egg crate foam,400,,https://charlottesville.craigslist.org/msg/d/charlottesville-studio-acoustic-egg/7814520948.html,missing,Unknown,
111,the eliminator pedal,75,,https://charlottesville.craigslist.org/msg/d/charlottesville-the-eliminator-pedal/7816539252.html,missing,Unknown,
112,2009 epiphone sheraton ii natural,500,2009.0,https://charlottesville.craigslist.org/msg/d/stanardsville-2009-epiphone-sheraton-ii/7816229122.html,missing,Unknown,16.0
113,gibson usa les paul and es335 promotional banner,40,,https://charlottesville.craigslist.org/msg/d/charlottesville-gibson-usa-les-paul-and/7808885160.html,missing,Charlottesville,
114,bass clarinet - really great sound!,800,,https://charlottesville.craigslist.org/msg/d/charlottesville-bass-clarinet-really/7809895271.html,bass,Charlottesville/Ivy,
115,build your guitar rock and roll library!,10,,https://charlottesville.craigslist.org/msg/d/charlottesville-build-your-guitar-rock/7807151315.html,guitar,Charlottesville,
116,2003 american stratocaster,900,2003.0,https://charlottesville.craigslist.org/msg/d/white-hall-2003-american-stratocaster/7814734103.html,missing,Crozet,22.0
117,aria pro 2 fullerton,90,,https://charlottesville.craigslist.org/msg/d/stuarts-draft-aria-pro-fullerton/7814421059.html,missing,Stuarts Draft,
118,tama true touch 4pc training kit and 2pc hardware kit,400,,https://charlottesville.craigslist.org/msg/d/crozet-tama-true-touch-4pc-training-kit/7814321461.html,missing,Unknown,
119,piano tuning & repair,175,,https://charlottesville.craigslist.org/msg/d/charlottesville-piano-tuning-repair/7807542074.html,piano,charlottesville,
120,beautiful usa fender hm heavy metal strat ice blue,1250,,https://charlottesville.craigslist.org/msg/d/montpelier-station-beautiful-usa-fender/7808100020.html,missing,Gordonsville,
121,martin c630 molded case,195,,https://charlottesville.craigslist.org/msg/d/charlottesville-martin-c630-molded-case/7805667581.html,missing,Unknown,
122,left hand deering sierra mahogany banjo,1800,,https://charlottesville.craigslist.org/msg/d/bowling-green-left-hand-deering-sierra/7805959372.html,banjo,Milford,
123,"roto toms 6""/8""/10""",150,,https://charlottesville.craigslist.org/msg/d/culpeper-roto-toms/7811371550.html,missing,CULPEPER,
124,fender blues jr. tweed amplifier,500,,https://charlottesville.craigslist.org/msg/d/charlottesville-fender-blues-jr-tweed/7805823028.html,missing,Unknown,
125,ampeg svt iii pro,400,,https://charlottesville.craigslist.org/msg/d/scottsville-ampeg-svt-iii-pro/7812491205.html,missing,Scottsville,
